nom,zone,site_web,facebook,linkedin,instagram_x,telephone,email
Lafarge Service Algérie (Holcim),Pavillon Palestine / Cascade,https://www.lafarge.dz,https://www.facebook.com/holcim.dz,https://www.linkedin.com/company/bnalgerie,,+213 (0)23 67 10 00,sofiane.yahimi@lafarge.com
Condor Electronics spa,Pavillon Palestine,https://www.condor.dz,https://www.facebook.com/condordz,https://www.linkedin.com/company/condor-algerie,,+213 (0)35 87 61 61,info@condor.dz
Banque Nationale d'Algérie (BNA),Pavillon Palestine,https://www.bna.dz,https://www.facebook.com/bnalgerie,https://www.linkedin.com/company/bnalgerie,,+213 (0)21 63 35 11,CEC@bna.dz
Banque Extérieure d'Algérie (BEA),Pavillon Palestine,https://www.bea.dz,https://www.facebook.com/BEAlgerie,https://www.linkedin.com/company/banque-extérieure-d-algérie,,+213 (0)23 56 92 40,
Al Salam Bank Algeria spa,Pavillon Palestine,https://www.alsalamalgeria.com,https://www.facebook.com/alsalam.bank.alger,https://www.linkedin.com/company/al-salam-bank-algeria,,+213 21 38 88 88,Tawassol@alsalamalgeria.com
AXA Assurances Algérie Dommage spa,Pavillon Palestine,https://www.axa.dz,https://www.facebook.com/AxaAssurancesAlgerie,https://www.linkedin.com/company/axa,,+213 21 98 00 20,ServiceRelationClient@axa.dz
Groupe Chiali spa,Pavillon Palestine / Ext. Palestine,https://www.groupe-chiali.com,https://www.facebook.com/chiali.groupe,https://www.linkedin.com/company/chiali-groupe,,+213 (0)48 70 31 90,info@groupe-chiali.com
Knauf Plâtres Algérie sarl,Pavillon Palestine / Cascade,https://www.knaufalgerie.com,https://www.facebook.com/KnaufDZAlgerie,https://www.linkedin.com/company/knauf,@Knauf_Algerie (X),+213 (0)21 36 87 00,info@knaufalgerie.com
Groupe Industriel des Ciments d'Algérie / GICA,Pavillon Palestine,https://www.gica.dz,https://www.facebook.com/GroupeGICA,https://www.linkedin.com/company/groupegica,,+213 (0)25 45 61 16,contact@gica.dz
Amouda Ciment sarl,Pavillon Palestine,https://amoudaciment.com,https://www.facebook.com/AmoudaCiment,https://www.linkedin.com/company/amouda-ciment,,+213 (0)20 33 91 91,communication@amoudaciment.com
Cash Assurances,Pavillon Palestine,https://www.cash-assurances.dz,,,,,
Banque de Développement Local (BDL),Pavillon Palestine,https://www.bdl.dz,https://www.facebook.com/BDLAlgerie,,,,
Bank ABC Algérie,Pavillon Palestine,https://www.bank-abc.com/dz,,https://www.linkedin.com/company/bank-abc,,,
Compagnie Algérienne des Assurances (CAAT),Pavillon Palestine,https://www.caat.dz,,,,,
Arab Leasing Corporation,Pavillon Palestine,,,,,,
Groupe Industriel Sidi Bendehiba,Pavillon Palestine,,,,,,
Holding SNS (Sté Nationale de Sidérurgie),Pavillon Palestine,https://www.sns.dz,,,,,
Algerian Qatari Steel,Pavillon Palestine,,,,,,
Condor Immo spa,Pavillon Palestine,https://www.condor.dz,https://www.facebook.com/condordz,https://www.linkedin.com/company/condor-algerie,,+213 (0)35 87 61 61,info@condor.dz
Condor spa,Pavillon Palestine,https://www.condor.dz,https://www.facebook.com/condordz,https://www.linkedin.com/company/condor-algerie,,+213 (0)35 87 61 61,info@condor.dz
Groupe Chiali Isotech spa,Pavillon Palestine,https://www.groupe-chiali.com,https://www.facebook.com/chiali.groupe,https://www.linkedin.com/company/chiali-groupe,,+213 (0)48 70 31 90,info@groupe-chiali.com
Groupe Chiali spa - Promotion Immobilière Mawteny,Pavillon Palestine,https://www.groupe-chiali.com,https://www.facebook.com/chiali.groupe,https://www.linkedin.com/company/chiali-groupe,,+213 (0)48 70 31 90,info@groupe-chiali.com
Global Gypse Company,Pavillon Palestine / Cascade,,,,,,
Granitex Nouveaux Produits spa,Pavillon Palestine,,,,,,
Groupe Bouadjil,Pavillon Palestine,,,,,,
Euro Moteur sarl,Pavillon Palestine,,,,,,
Groupe Etudes et Engineering,Pavillon Palestine,,,,,,
Groupe Industrie Locales Divindus,Pavillon Palestine,,,,,,
El Kfel Promotion Immobilière,Pavillon Palestine,,,,,,
Entreprise Nationale de Promotion Immobilière,Pavillon Palestine,,,,,,
Entreprise Nationale des Ascenseurs ENASC,Pavillon Palestine,,,,,,
EPE Groupe GEICA spa,Pavillon Palestine,,,,,,
Ets Meftahi Solutions IT,Pavillon Palestine,,,,,,
Fonds de Garantie et de Caution Mutuelle de la Promotion Immobilière,Pavillon Palestine,,,,,,
Future Pipe sarl,Pavillon Palestine,,,,,,
Abclim eurl,Pavillon Union-N,,,,,,
Azizi Production sarl,Pavillon Union-N,,,,,,
Belle Etiquette sarl,Pavillon Union-N,,,,,,
Blanco Peintures Zeroukhi Reda,Pavillon Union-N,,,,,,
Colors Paint sarl,Pavillon Union-N,,,,,,
Deco Paint Fabrication de Peintures eurl,Pavillon Union-N,,,,,,
Drizoro Algerie,Pavillon Union-N,https://www.drizoro.com,,,,,
Grupo Pumal spa,Pavillon Union-N,,,,,,
Jotun Technover spa,Pavillon Union-N,https://www.jotun.com,,https://www.linkedin.com/company/jotun,,,
King Imi spa,Pavillon Union-N,,,,,,
Lorn Chemicals sarl,Pavillon Union-N,,,,,,
Pigma Color sarl,Pavillon Union-N,,,,,,
Sapeint sarl,Pavillon Union-N,,,,,,
Sappec Peintures sarl,Pavillon Union-N,,,,,,
Star Placo sarl,Pavillon Union-N,,,,,,
Universal Color eurl,Pavillon Union-N,,,,,,
Wanlon Algerie sarl,Pavillon Union-N,,,,,,
Z Deco Paint Import Export sarl,Pavillon Union-N,,,,,,
Acces Industrie sarl,Pavillon Gourara,,,,,,
Air Power Group srl,Pavillon Gourara,,,,,,
Baioni Crushing Plants srl,Pavillon Gourara,https://www.baioni.it,,,,,info@baioni.it
Bianchi Casseforme s.R.L.,Pavillon Gourara,,,,,,
Biesse spa,Pavillon Gourara,https://www.biesse.com,,https://www.linkedin.com/company/biesse,,,
Davi-Promau,Pavillon Gourara,https://www.davipromau.com,,,,,
Dellas s.P.A.,Pavillon Gourara,https://www.dellas.it,,,,,
Eurimpianti,Pavillon Gourara,,,,,,
Euroline srl,Pavillon Gourara,,,,,,
Expert Geometre Ait Chebib Said,Pavillon Gourara,,,,,,
Far Rubinetterie spa,Pavillon Gourara,,,,,,
