nom,quartier,adresse,note_google_maps,nb_avis_google,signal_alternatif,source_signal,site_reseaux
Sylabs,Alger Centre,"Près de la Grande Poste / station Tafoura",N/D,N/D,"96% de recommandation (Facebook, 60 avis)",Facebook,https://www.facebook.com/SylabsDZ/
Space X Coworking,Bordj El Kiffan,"Lot N, Cité, 28 Rue Daib Aissa (relocalisé en 2023)",N/D,N/D,"70% de recommandation (Facebook, 8 avis)",Facebook,https://www.facebook.com/SX.coworking/
The Address Coworking Space,"Alger Centre / El Mohammadia","El Mohammadia Mall 4e étage + Sidi Yahia",N/D,N/D,"9.9/10 (CoworkBooking, 1 note)",CoworkBooking,https://www.coworkbooking.com/africa/algeria/algiers/the-address-coworking-space
Orbit Coworking & Training Space,Sidi M'Hamed,"21 Rue Mercurie, Bd Mohamed V",N/D,N/D,"Avis qualitatifs positifs, pas de note chiffrée",Coworker.com,https://www.coworker.com/algeria/sidi-mhamed/orbit-coworking-training-space
Bab 08,Alger Centre,"08 Rue Didouche Mourad / Place Audin",N/D,N/D,Aucune donnée trouvée,-,https://bab08.com/
95,Alger Centre,"95 Rue Didouche Mourad",N/D,N/D,"Page Facebook non notée (1 avis)",Facebook,https://www.facebook.com/95didouchemourad/
Regus,"Alger Centre / Hydra / Bab Ezzouar","Plusieurs sites",N/D,N/D,Avis épars sans note consolidée,Trustpilot,https://fr.trustpilot.com/review/regus.com/location/alger-bab-ezzouar
Horizon Business Space,Bir Mourad Raïs,"P2MH+2RP, Bir Mourad Raïs 16000",N/D,N/D,"Page Facebook non notée (0 avis)",Facebook,https://www.facebook.com/Horizonbusinessspace/
L2C Space,Baba Hassen,"Baba Hassen",N/D,N/D,Aucune donnée trouvée,-,https://www.facebook.com/l2cspace/
Comet Coworking,Baba Hassen,"Lotissement 19 mai 1956 N°16 Bis, 16081",N/D,N/D,Aucune donnée trouvée,-,https://www.facebook.com/CometCoworking/
Emir Synergy,"Alger Centre (près Place Emir Abdelkader)","Non précisée",N/D,N/D,Aucune donnée trouvée,-,https://www.facebook.com/Emirsynergy/
Perfect Space Coworking,Bordj El Kiffan,"Cité Saidi Mohamed N°61",N/D,N/D,Aucune donnée trouvée,-,https://www.facebook.com/p/Perfect-Space-Coworking-100032868234210/
IncubMe,Alger,"Non précisée",N/D,N/D,Aucune donnée trouvée,-,https://incubme.com/
La Bulle Space,El Mouradia,"04 Rue Abdou Mohamed",N/D,N/D,"Aucune note formelle (CoworkBooking)",CoworkBooking,https://www.coworkbooking.com/africa/algeria/algiers/la-bulle-space
FADAA Coworking,Alger,"3 sites à Alger (non précisés)",N/D,N/D,Aucune donnée trouvée,-,https://fadaa.dz/
Ikosim Tech Hub,Alger,"Non précisée",N/D,N/D,Aucune donnée trouvée,-,https://ikosim-tech-hub.com/workspace/coworking/
IN NETWORK,Hydra,"Entrée autoroute de Hydra",N/D,N/D,Aucune donnée trouvée,-,https://www.in-network.dz/coworking/
